Time (s),Cart Position (m),Cart Velocity (m/s),Pole Angle (rad),Pole Angular Velocity (rad/s),Control Input (N),Q0,Q1,Q2,Q3,R
1740036674.1521,-0.0009,0.0062,-0.0014,-0.0072,-0.6809,11.1111,0.2500,25.0000,0.2500,0.0044
1740036674.1627,-0.0009,0.0097,-0.0014,-0.0128,-0.8925,11.1111,0.2500,25.0000,0.2500,0.0044
1740036674.1721,-0.0007,0.0216,-0.0016,-0.0306,-1.5946,11.1111,0.2500,25.0000,0.2500,0.0044
1740036674.1820,-0.0005,0.0175,-0.0019,-0.0247,-1.4601,11.1111,0.2500,25.0000,0.2500,0.0044
1740036674.1921,-0.0004,0.0054,-0.0021,-0.0069,-0.8693,11.1111,0.2500,25.0000,0.2500,0.0044
1740036674.2021,-0.0004,0.0006,-0.0021,0.0002,-0.6253,11.1111,0.2500,25.0000,0.2500,0.0044
1740036674.2120,-0.0004,-0.0057,-0.0020,0.0093,-0.2912,11.1111,0.2500,25.0000,0.2500,0.0044
1740036674.2221,-0.0005,-0.0064,-0.0019,0.0099,-0.2443,11.1111,0.2500,25.0000,0.2500,0.0044
1740036674.2321,-0.0006,-0.0072,-0.0018,0.0109,-0.1889,11.1111,0.2500,25.0000,0.2500,0.0044
1740036674.2420,-0.0006,-0.0194,-0.0017,0.0289,0.4865,11.1111,0.2500,25.0000,0.2500,0.0044
1740036674.2520,-0.0008,-0.0147,-0.0014,0.0216,0.2854,11.1111,0.2500,25.0000,0.2500,0.0044
1740036674.2620,-0.0010,-0.0210,-0.0012,0.0308,0.6661,11.1111,0.2500,25.0000,0.2500,0.0044
1740036674.2721,-0.0011,-0.0149,-0.0009,0.0213,0.3930,11.1111,0.2500,25.0000,0.2500,0.0044
1740036674.2821,-0.0013,-0.0340,-0.0007,0.0499,1.4726,11.1111,0.2500,25.0000,0.2500,0.0044
1740036674.2920,-0.0016,-0.0211,-0.0003,0.0302,0.8731,11.1111,0.2500,25.0000,0.2500,0.0044
1740036674.3021,-0.0017,-0.0255,-0.0001,0.0368,1.1682,11.1111,0.2500,25.0000,0.2500,0.0044
1740036674.3121,-0.0020,-0.0265,0.0004,0.0381,1.3382,11.1111,0.2500,25.0000,0.2500,0.0044
1740036674.3221,-0.0023,-0.0557,0.0007,0.0820,3.0073,11.1111,0.2500,25.0000,0.2500,0.0044
1740036674.3321,-0.0029,-0.0509,0.0017,0.0746,2.9931,11.1111,0.2500,25.0000,0.2500,0.0044
1740036674.3421,-0.0034,-0.0702,0.0023,0.1037,4.2079,11.1111,0.2500,25.0000,0.2500,0.0044
1740036674.3520,-0.0039,-0.0345,0.0030,0.0503,2.5075,11.1111,0.2500,25.0000,0.2500,0.0044
1740036674.3620,-0.0042,-0.0561,0.0035,0.0830,3.7995,11.1111,0.2500,25.0000,0.2500,0.0044
1740036674.3720,-0.0046,-0.0243,0.0040,0.0357,2.2698,11.1111,0.2500,25.0000,0.2500,0.0044
1740036674.3821,-0.0047,-0.0385,0.0043,0.0575,3.1395,11.1111,0.2500,25.0000,0.2500,0.0044
1740036674.3920,-0.0050,-0.0126,0.0047,0.0193,1.8820,11.1111,0.2500,25.0000,0.2500,0.0044
1740036674.4020,-0.0051,-0.0150,0.0048,0.0235,2.0769,11.1111,0.2500,25.0000,0.2500,0.0044
1740036674.4121,-0.0051,-0.0033,0.0049,0.0064,1.5033,11.1111,0.2500,25.0000,0.2500,0.0044
1740036674.4221,-0.0051,-0.0054,0.0049,0.0103,1.6550,11.1111,0.2500,25.0000,0.2500,0.0044
1740036674.4320,-0.0051,0.0075,0.0049,-0.0083,1.0051,11.1111,0.2500,25.0000,0.2500,0.0044
1740036674.4421,-0.0050,0.0083,0.0048,-0.0088,0.9705,11.1111,0.2500,25.0000,0.2500,0.0044
1740036674.4521,-0.0048,0.0153,0.0046,-0.0186,0.5999,11.1111,0.2500,25.0000,0.2500,0.0044
1740036674.4620,-0.0047,0.0280,0.0044,-0.0369,-0.1021,11.1111,0.2500,25.0000,0.2500,0.0044
1740036674.4721,-0.0045,0.0264,0.0041,-0.0341,-0.0566,11.1111,0.2500,25.0000,0.2500,0.0044
1740036674.4820,-0.0042,0.0583,0.0037,-0.0812,-1.8325,11.1111,0.2500,25.0000,0.2500,0.0044
1740036674.4921,-0.0037,0.0430,0.0031,-0.0577,-1.1429,11.1111,0.2500,25.0000,0.2500,0.0044
1740036674.5020,-0.0033,0.0809,0.0025,-0.1140,-3.2993,11.1111,0.2500,25.0000,0.2500,0.0044
1740036674.5120,-0.0024,0.0771,0.0013,-0.1076,-3.4055,11.1111,0.2500,25.0000,0.2500,0.0044
1740036674.5220,-0.0017,0.1078,0.0003,-0.1533,-5.2896,11.1111,0.2500,25.0000,0.2500,0.0044
1740036674.5320,-0.0009,0.0621,-0.0009,-0.0843,-3.1277,11.1111,0.2500,25.0000,0.2500,0.0044
1740036674.5421,-0.0003,0.1202,-0.0016,-0.1715,-6.4502,11.1111,0.2500,25.0000,0.2500,0.0044
1740036674.5521,0.0010,0.1073,-0.0035,-0.1520,-6.2647,11.1111,0.2500,25.0000,0.2500,0.0044
1740036674.5621,0.0019,0.1359,-0.0048,-0.1950,-8.1503,11.1111,0.2500,25.0000,0.2500,0.0044
1740036674.5721,0.0027,0.0873,-0.0059,-0.1223,-5.8458,11.1111,0.2500,25.0000,0.2500,0.0044
